id,mentor_or_mentee,preference_1,preference_2,preference_3,preference_4,preference_5,preference_6,preference_7,preference_8,preference_9,preference_10,preference_11,preference_12,preference_13,preference_14,preference_15,industry,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,gender,gender_preference
0,mentor,114,90,57,121,166,50,126,199,43,16,11,182,9,135,29,Aerospace;Food and Beverage;Nonprofit;,10,6,8,10,5,7,Male,Female
1,mentor,53,25,77,71,178,60,164,76,50,93,62,122,70,179,166,Agriculture;Engineering;Arts and Design;Entertainment;,2,3,3,8,4,10,Female,Nonbinary/Fluid/Gender Queer
2,mentor,19,75,155,15,1,192,174,179,159,184,12,144,163,59,14,Advertising/Marketing;Human Resources;Consulting;,6,10,9,5,2,1,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
3,mentor,163,77,104,113,97,103,128,117,42,164,49,7,109,26,74,Entertainment;,4,2,9,4,6,2,Male,No Preference
4,mentor,133,46,56,174,90,83,189,64,186,185,51,21,167,136,169,Accounting;Fashion;Entrepreneurship;Media and News;Legal;,5,5,4,10,3,8,Male,Female
5,mentor,44,61,22,23,2,195,102,189,100,145,139,182,174,123,143,Food and Beverage;Hospitality;Agriculture;Education;Legal;,6,5,3,4,8,10,Female,No Preference
6,mentor,173,79,155,190,152,167,21,129,143,94,199,87,15,18,8,Education;,7,10,5,6,4,4,Female,No Preference
7,mentor,167,183,115,161,112,19,151,27,116,76,131,119,124,106,180,Fashion;Aerospace;Arts and Design;Finance;Food and Beverage;,2,8,4,9,10,2,Nonbinary/Fluid/Gender Queer,No Preference
8,mentor,95,90,166,66,113,125,106,20,181,4,83,59,183,55,79,Technology;Nonprofit;,4,2,2,2,1,8,Male,Male
9,mentor,198,122,171,78,144,83,157,143,49,150,145,140,180,121,38,Agriculture;Entertainment;Technology;Aerospace;Entrepreneurship;,10,6,10,6,4,1,Male,Nonbinary/Fluid/Gender Queer
10,mentor,83,136,47,87,197,69,193,21,5,110,189,86,6,97,61,Engineering;Human Resources;,7,7,1,7,5,3,Nonbinary/Fluid/Gender Queer,Male
11,mentor,157,87,45,146,119,189,111,41,92,184,151,51,70,53,159,Nonprofit;,4,3,3,5,4,7,Nonbinary/Fluid/Gender Queer,No Preference
12,mentor,109,67,112,28,190,186,137,40,177,104,68,125,156,88,122,Consulting;,10,3,8,2,5,10,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
13,mentor,168,197,18,188,80,15,82,156,76,6,117,171,52,29,111,Healthcare;Technology;Media and News;,10,6,5,5,8,3,Male,Female
14,mentor,152,147,107,6,96,23,199,35,160,132,178,192,164,11,79,Fashion;Entertainment;Hospitality;Agriculture;,8,10,8,4,8,2,Male,Nonbinary/Fluid/Gender Queer
15,mentor,111,91,64,132,17,25,193,63,68,160,72,62,37,97,137,Other;,1,4,4,8,2,7,Female,Nonbinary/Fluid/Gender Queer
16,mentor,152,19,141,130,22,65,52,44,139,33,81,27,84,53,147,Nonprofit;Pharmaceutical;Human Resources;Fashion;,4,6,2,4,8,2,Nonbinary/Fluid/Gender Queer,Female
17,mentor,75,65,94,132,143,5,32,100,10,87,169,192,135,84,14,Hospitality;Finance;,2,7,1,2,10,8,Nonbinary/Fluid/Gender Queer,Female
18,mentor,121,1,157,36,142,168,85,42,64,70,140,186,53,187,118,Nonprofit;Agriculture;Arts and Design;Finance;Fashion;,7,7,9,3,3,7,Female,No Preference
19,mentor,55,134,106,174,135,68,91,22,0,159,47,20,80,168,17,Aerospace;Education;Agriculture;Government;,2,7,4,4,2,6,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
20,mentor,191,39,149,189,93,18,147,10,192,109,135,112,78,136,46,Media and News;Accounting;Nonprofit;Legal;Hospitality;,1,10,2,7,1,3,Nonbinary/Fluid/Gender Queer,Female
21,mentor,44,178,77,127,58,49,88,51,140,63,103,135,131,94,33,Finance;Pharmaceutical;Consulting;Nonprofit;Aerospace;,1,5,9,6,8,2,Female,Nonbinary/Fluid/Gender Queer
22,mentor,22,48,130,20,33,189,119,9,193,183,38,105,66,61,16,Media and News;Consulting;Finance;Human Resources;Food and Beverage;,4,3,10,5,4,6,Male,Female
23,mentor,71,121,88,25,109,193,20,116,89,123,23,21,191,129,139,Entrepreneurship;Food and Beverage;Aerospace;Technology;,6,9,5,4,7,9,Female,No Preference
24,mentor,97,160,19,167,131,93,111,22,139,33,65,72,162,123,40,Entrepreneurship;Real Estate;Other;,2,7,2,9,7,2,Male,Nonbinary/Fluid/Gender Queer
25,mentor,137,134,143,135,119,3,40,21,133,163,8,14,74,22,195,Advertising/Marketing;Consulting;Food and Beverage;,5,9,10,5,3,2,Female,Nonbinary/Fluid/Gender Queer
26,mentor,7,28,14,158,48,178,18,69,124,156,26,173,56,97,88,Legal;Government;Entertainment;,1,8,5,5,10,1,Male,No Preference
27,mentor,0,138,65,154,155,45,57,167,196,178,147,39,102,66,35,Aerospace;Hospitality;Consulting;Finance;,4,4,9,8,2,1,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
28,mentor,16,178,62,39,176,37,172,34,196,99,97,135,27,133,168,Accounting;Media and News;,8,3,10,7,6,4,Female,No Preference
29,mentor,185,87,162,199,79,36,32,16,132,52,109,177,175,9,66,Aerospace;Fashion;Entertainment;Engineering;Government;,3,1,4,9,1,8,Male,Nonbinary/Fluid/Gender Queer
30,mentor,12,160,2,133,149,71,44,22,173,81,184,187,1,107,190,Advertising/Marketing;Media and News;,6,10,8,9,8,10,Male,Male
31,mentor,17,84,93,162,78,127,53,61,117,77,120,60,129,156,50,Real Estate;Hospitality;Fashion;,5,1,2,10,5,4,Male,Male
32,mentor,10,30,151,108,149,94,122,93,100,144,148,5,31,73,106,Accounting;Media and News;,1,2,10,6,10,7,Male,Female
33,mentor,86,83,151,103,182,148,28,132,112,75,161,135,70,142,78,Entertainment;Real Estate;Education;,2,2,5,2,5,5,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer
34,mentor,30,159,8,130,33,28,114,119,73,169,6,125,62,142,154,Media and News;Human Resources;Education;,1,3,2,10,5,8,Female,No Preference
35,mentor,108,65,176,127,80,174,12,91,15,148,166,49,0,73,56,Technology;Arts and Design;Consulting;Education;,3,5,7,5,3,3,Female,Nonbinary/Fluid/Gender Queer
