ID,Mentor or Mentee?,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10,Preference 11,Preference 12,Preference 13,Preference 14,Preference 15,Industry,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Gender,Gender Preference
0,Mentor,190,18,19,39,83,68,70,20,198,60,172,27,35,86,130,Information Technology;Biotechnology;Mining,9,10,2,4,3,1,Male,No Preference
1,Mentor,197,165,164,152,3,23,116,194,131,118,0,155,72,187,47,Biotechnology;Automotive,3,1,4,9,2,6,Female,No Preference
2,Mentor,109,129,189,143,175,134,18,4,132,77,147,73,11,81,150,Mining;Energy;Telecommunications,1,3,8,6,10,7,Male,No Preference
3,Mentor,21,176,165,3,170,168,145,6,70,91,114,196,93,130,172,Construction;Automotive,7,3,5,2,1,8,Female,No Preference
4,Mentor,167,75,121,114,28,194,58,72,125,106,109,44,53,35,24,Biotechnology;Pharmaceuticals,10,5,8,7,3,1,Female,Female
5,Mentor,153,135,45,186,196,105,19,30,33,107,149,86,164,8,113,Construction;Manufacturing;Hospitality,3,10,2,1,4,6,Female,No Preference
6,Mentor,39,188,174,126,9,13,146,133,153,179,155,148,67,86,127,Pharmaceuticals;Hospitality;Information Technology,3,1,4,10,9,8,Male,Male
7,Mentor,158,31,62,133,168,33,7,154,134,172,88,98,142,105,180,Pharmaceuticals;Construction,8,10,5,4,6,2,Female,No Preference
8,Mentor,17,56,194,106,53,125,94,87,163,151,86,50,43,188,191,Transportation and Logistics;Pharmaceuticals;Hospitality,10,7,1,4,2,3,Male,No Preference
9,Mentor,132,9,50,32,172,105,56,22,146,84,76,68,86,35,101,Mining;Hospitality,5,10,9,3,8,2,Female,No Preference
10,Mentor,86,10,168,123,117,133,170,84,13,140,119,154,109,187,158,Construction;Consumer Goods;Mining,2,7,9,6,5,8,Male,No Preference
11,Mentor,12,51,17,160,15,102,107,20,44,66,36,115,181,197,85,Manufacturing;Real Estate;Automotive,8,5,7,6,4,3,Female,Female
12,Mentor,153,156,188,100,44,67,127,40,133,86,32,179,33,105,22,Hospitality,2,5,1,8,9,3,Male,Male
13,Mentor,95,131,34,199,179,79,28,88,72,187,46,40,101,165,191,Biotechnology;Energy;Agriculture,7,8,5,9,4,1,Female,No Preference
14,Mentor,89,106,68,109,147,141,181,39,153,4,103,155,56,81,110,Telecommunications;Agriculture;Energy,6,8,9,10,3,7,Male,No Preference
15,Mentor,82,170,124,4,167,126,91,23,2,151,35,194,147,175,17,Biotechnology;Transportation and Logistics,8,3,1,6,9,4,Female,No Preference
16,Mentor,127,77,196,99,193,84,32,10,180,170,134,157,161,25,0,Real Estate;Construction;Consumer Goods,5,7,9,6,1,4,Female,No Preference
17,Mentor,38,149,119,22,193,170,155,198,43,195,34,181,41,166,112,Consumer Goods;Telecommunications;Biotechnology,5,8,2,9,6,10,Non-binary,No Preference
18,Mentor,164,121,57,116,9,3,178,187,161,77,101,181,128,13,115,Automotive;Mining,9,3,1,5,4,2,Female,No Preference
