ID,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10,Preference 11,Preference 12,Preference 13,Preference 14,Preference 15,Industry,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Gender,Gender Preference
0,194,168,179,172,2,140,15,115,12,145,79,162,23,95,71,Manufacturing;Energy,5,2,3,6,8,7,9,Male,No Preference
1,145,101,67,153,123,180,74,127,168,22,15,138,157,16,47,Information Technology;Telecommunications;Transportation and Logistics,7,1,6,8,4,9,3,Female,Female
2,94,95,106,79,59,182,131,31,186,133,28,112,47,119,4,Consumer Goods;Pharmaceuticals,8,6,1,9,5,7,4,Male,No Preference
3,119,166,94,139,104,63,23,168,198,48,9,77,95,43,31,Pharmaceuticals;Information Technology;Construction,10,7,2,4,9,8,6,Female,No Preference
4,95,15,196,111,35,99,17,44,145,169,22,168,10,1,60,Manufacturing,6,5,2,9,10,7,3,Female,No Preference
5,38,166,173,124,1,115,60,182,33,168,22,108,73,58,148,Biotechnology;Manufacturing;Construction,6,2,8,10,5,1,4,Female,No Preference
6,194,18,43,148,21,110,54,118,155,187,160,91,57,132,95,Hospitality;Agriculture,6,3,10,5,1,2,9,Male,Male
7,179,183,103,172,36,28,39,152,25,56,192,35,155,141,181,Automotive;Information Technology;Pharmaceuticals,6,4,8,3,10,2,5,Female,No Preference
8,90,66,182,163,53,157,20,166,168,41,29,197,114,113,96,Biotechnology,7,5,3,6,10,9,1,Male,No Preference
9,140,12,9,162,100,134,110,159,167,166,189,21,179,94,70,Energy,9,2,1,10,6,5,7,Male,No Preference
10,164,75,48,138,149,126,61,175,133,176,104,142,182,114,43,Construction;Consumer Goods,3,9,2,8,6,1,4,Male,No Preference
11,156,183,63,171,168,142,77,9,55,148,194,102,36,161,53,Information Technology,9,5,8,7,3,6,4,Male,No Preference
12,55,192,36,168,83,102,57,109,9,43,67,101,115,149,73,Information Technology;Telecommunications;Automotive,4,8,7,2,10,1,6,Female,No Preference
13,154,40,103,148,38,43,102,161,49,48,73,75,144,194,139,Information Technology;Construction,4,1,7,5,8,6,2,Male,Male
14,178,78,38,84,1,2,132,107,48,88,103,195,196,44,198,Real Estate,1,8,6,5,2,4,3,Male,Male
15,131,166,70,172,22,46,188,143,171,125,99,151,94,124,86,Biotechnology;Automotive;Consumer Goods,6,4,7,10,5,3,1,Female,No Preference
16,181,172,143,53,103,152,86,188,92,149,142,96,171,7,34,Automotive,3,1,7,2,9,6,10,Male,No Preference
17,101,33,37,109,94,176,79,108,164,138,173,6,121,104,38,Construction,10,7,2,6,8,5,3,Female,Female
18,170,123,59,67,177,173,143,164,180,86,125,33,171,186,101,Agriculture;Automotive,3,4,9,8,1,6,2,Female,Female
19,13,21,179,43,108,146,129,18,160,89,41,16,100,12,26,Transportation and Logistics;Hospitality,9,1,6,7,5,3,4,Female,No Preference
20,83,15,198,131,186,82,118,98,133,130,59,28,39,179,23,Pharmaceuticals,9,8,10,5,1,3,2,Male,No Preference
21,56,53,33,143,173,145,101,138,182,109,86,176,164,76,172,Manufacturing;Construction;Automotive,2,10,6,4,5,8,7,Female,Female
22,152,156,56,70,101,171,102,183,180,182,109,149,192,143,63,Information Technology;Automotive,10,2,5,1,8,3,6,Male,No Preference
23,102,189,110,7,79,21,162,143,9,156,94,11,56,23,122,Information Technology;Energy;Automotive,10,8,3,9,5,7,2,Female,No Preference
24,170,59,73,119,15,132,166,154,125,176,195,95,88,46,118,Real Estate;Pharmaceuticals;Construction,5,4,2,9,3,10,8,Male,No Preference
25,25,83,23,130,4,67,47,44,187,41,20,59,1,31,179,Pharmaceuticals;Transportation and Logistics,9,3,7,6,2,1,4,Male,No Preference
26,108,185,3,88,155,124,67,76,129,26,100,15,81,19,187,Transportation and Logistics;Hospitality,6,10,4,3,2,8,9,Female,No Preference
27,101,161,145,114,139,36,55,111,40,157,9,99,43,156,104,Construction;Information Technology;Manufacturing,1,5,4,6,7,3,8,Male,No Preference
28,109,155,1,118,93,66,181,171,83,119,95,63,90,124,41,Information Technology;Pharmaceuticals;Biotechnology,5,10,3,6,1,4,8,Female,No Preference
29,118,187,31,15,83,28,106,35,179,59,130,23,131,155,1,Pharmaceuticals,7,1,9,10,5,6,2,Female,No Preference
30,131,168,196,25,145,39,76,1,60,31,141,198,58,155,22,Manufacturing;Pharmaceuticals,5,10,7,4,3,6,2,Male,No Preference
31,85,66,180,67,47,119,158,16,24,146,2,3,81,179,89,Transportation and Logistics,6,4,5,3,9,10,8,Male,No Preference
32,56,149,74,61,23,41,37,126,86,143,28,46,180,182,27,Consumer Goods;Biotechnology;Automotive,9,4,8,1,5,6,2,Female,Female
33,102,52,123,43,3,81,154,138,83,153,107,117,139,169,22,Telecommunications,5,3,4,8,7,6,2,Female,No Preference
34,163,37,113,112,131,23,197,22,168,28,27,76,150,74,121,Consumer Goods;Hospitality;Biotechnology,6,10,7,8,9,3,1,Female,Female
35,22,172,83,141,109,163,197,180,130,58,168,28,20,15,71,Manufacturing;Mining;Pharmaceuticals,1,4,2,6,5,7,10,Female,Female
36,131,194,159,179,79,167,70,183,2,140,94,92,162,108,189,Energy,7,6,2,5,9,4,1,Male,No Preference
37,108,110,166,92,162,94,140,172,9,146,70,131,12,167,50,Energy,6,7,10,9,3,4,8,Male,No Preference
